사업장명,인허가일자,영업상태명,폐업일자,위생업태명,소재지도로명주소,소재지지번주소
카페 빈어홀릭,2007-07-09,폐업,2017-06-22,커피숍,"서울특별시 관악구 호암로24길 66, 1층 (신림동)",서울특별시 관악구 신림동 1537-1 
더랩 대학동점,2004-08-09,폐업,2017-07-04,커피숍,"서울특별시 관악구 호암로26길 49 (신림동,외1필지)",서울특별시 관악구 신림동 1515-4 외1필지 
코나빈스,2012-10-10,폐업,2017-07-17,커피숍,"서울특별시 관악구 남부순환로 1827 (봉천동, 지상1층)",서울특별시 관악구 봉천동 858-7 
연소바,2009-08-06,폐업,2017-07-17,커피숍,"서울특별시 관악구 남부순환로 1802, 1층 제132호,133호 (봉천동)",서울특별시 관악구 봉천동 875-1 제132호호
엔제리너스 커피,2009-02-12,폐업,2017-07-25,커피숍,"서울특별시 관악구 신림로 330, 9층 (신림동)",서울특별시 관악구 신림동 1641-2 
Hoony's Coffee(후니스커피),2013-05-28,폐업,2017-07-26,커피숍,"서울특별시 관악구 낙성대역길 31, 1층 (봉천동)",서울특별시 관악구 봉천동 207-21 
카페토스피아 은천초교점,2014-10-23,폐업,2017-08-03,커피숍,"서울특별시 관악구 은천로 70, 1층 (봉천동, 올레바움)",서울특별시 관악구 봉천동 903-9 
해피앤러브(Happy&Love),2013-05-09,폐업,2017-08-09,커피숍,"서울특별시 관악구 난곡로42길 3, 1층 (신림동)",서울특별시 관악구 신림동 587-29 
숲속,2012-09-03,폐업,2017-08-10,커피숍,"서울특별시 관악구 봉천로14길 17 (신림동, 지상1층)",서울특별시 관악구 신림동 1417-43 
예리담,2017-05-22,폐업,2017-08-16,커피숍,"서울특별시 관악구 신림로17길 59, 1층 (신림동)",서울특별시 관악구 신림동 1542-14 
(주)농협유통 두레미담 서울대2호점,2015-10-26,폐업,2017-08-23,커피숍,"서울특별시 관악구 관악로 1, 1층 (봉천동, 가동식당(제4식당))",서울특별시 관악구 봉천동 산 56-1 
Little Place,2011-12-09,폐업,2017-08-28,커피숍,"서울특별시 관악구 청림2길 15-12, 지하1층 (봉천동)",서울특별시 관악구 봉천동 14-100 지하1층 
